suite	lemma	actual_status	expected_status	selected_run	match	selected_raw_output
v7	fail_requires_seal	verified	verified	run2	MATCH	proofs/v7/fail_requires_seal.out
v7	no_add_after_complete	verified	verified	run2	MATCH	proofs/v7/no_add_after_complete.out
v7	no_add_after_fail	verified	verified	run2	MATCH	proofs/v7/no_add_after_fail.out
v7	no_add_after_seal	verified	verified	run2	MATCH	proofs/v7/no_add_after_seal.out
v7	no_slot_accept_after_close	verified	verified	run2	MATCH	proofs/v7/no_slot_accept_after_close.out
v7	no_slot_accept_after_complete	verified	verified	run2	MATCH	proofs/v7/no_slot_accept_after_complete.out
v7	no_slot_accept_after_fail	verified	verified	run2	MATCH	proofs/v7/no_slot_accept_after_fail.out
v7	process_requires_seal	verified	verified	run2	MATCH	proofs/v7/process_requires_seal.out
v7	process_requires_slot_added	verified	verified	run2	MATCH	proofs/v7/process_requires_slot_added.out
v7	receiver_state_single_batch_end	verified	verified	run2	MATCH	proofs/v7/receiver_state_single_batch_end.out
v7	seal_requires_all_slots_added	verified	verified	run2	MATCH	proofs/v7/seal_requires_all_slots_added.out
v7	slot_origin	verified	verified	run2	MATCH	proofs/v7/slot_origin.out
