suite	target	actual_status	expected_status	exit_status	loop	raw_output
combined-impact	hmac_failure_slot2_after_prior_accept_exists	verified	verified	0	false	proofs/combined-impact/hmac_failure_slot2_after_prior_accept_exists.out
original-replay	normal_single_accept	verified	verified	0	false	proofs/original-replay/normal_single_accept.out
original-replay	normal_batch_complete	verified	verified	0	false	proofs/original-replay/normal_batch_complete.out
original-replay	one_send_two_accepts_exists	verified	verified	0	false	proofs/original-replay/one_send_two_accepts_exists.out
original-replay	same_message_accepted_at_most_once	falsified	falsified	0	false	proofs/original-replay/same_message_accepted_at_most_once.out
original-replay	full_message_unique_send	verified	verified	0	false	proofs/original-replay/full_message_unique_send.out
original-replay	receiver_accept_has_sender	verified	verified	0	false	proofs/original-replay/receiver_accept_has_sender.out
original-replay	injective_receiver_accept	falsified	falsified	0	false	proofs/original-replay/injective_receiver_accept.out
original-replay	slot_indices_distinct	verified	verified	0	false	proofs/original-replay/slot_indices_distinct.out
original-replay	process_requires_slot_added	verified	verified	0	false	proofs/original-replay/process_requires_slot_added.out
original-replay	process_requires_seal	verified	verified	0	false	proofs/original-replay/process_requires_seal.out
original-replay	complete_requires_all_slots_processed	verified	verified	0	false	proofs/original-replay/complete_requires_all_slots_processed.out
original-replay	no_add_after_seal	verified	verified	0	false	proofs/original-replay/no_add_after_seal.out
original-replay	no_accept_after_close	verified	verified	0	false	proofs/original-replay/no_accept_after_close.out
original-replay	batch_complete_consumes_state	verified	verified	0	false	proofs/original-replay/batch_complete_consumes_state.out
original-replay	batch_fail_consumes_state	verified	verified	0	false	proofs/original-replay/batch_fail_consumes_state.out
original-replay	batch_end_token_single_use	verified	verified	0	false	proofs/original-replay/batch_end_token_single_use.out
original-replay	receiver_state_single_batch	verified	verified	0	false	proofs/original-replay/receiver_state_single_batch.out
original-replay	receiver_state_single_batch_end	verified	verified	0	false	proofs/original-replay/receiver_state_single_batch_end.out
hmac-replay	normal_confirmed_single_accept	verified	verified	0	false	proofs/hmac-replay/normal_confirmed_single_accept.out
hmac-replay	normal_confirmed_batch_complete	verified	verified	0	false	proofs/hmac-replay/normal_confirmed_batch_complete.out
hmac-replay	confirmed_receiver_accept_has_sender	verified	verified	0	false	proofs/hmac-replay/confirmed_receiver_accept_has_sender.out
hmac-replay	confirmed_message_unique_send	verified	verified	0	false	proofs/hmac-replay/confirmed_message_unique_send.out
hmac-replay	one_confirmed_send_two_accepts_exists	verified	verified	0	false	proofs/hmac-replay/one_confirmed_send_two_accepts_exists.out
hmac-replay	confirmed_message_accepted_at_most_once	falsified	falsified	0	false	proofs/hmac-replay/confirmed_message_accepted_at_most_once.out
hmac-replay	injective_confirmed_receiver_accept	falsified	falsified	0	false	proofs/hmac-replay/injective_confirmed_receiver_accept.out
hmac-replay	slot_indices_distinct	verified	verified	0	false	proofs/hmac-replay/slot_indices_distinct.out
hmac-replay	process_requires_slot_added	verified	verified	0	false	proofs/hmac-replay/process_requires_slot_added.out
hmac-replay	process_requires_seal	verified	verified	0	false	proofs/hmac-replay/process_requires_seal.out
hmac-replay	complete_requires_all_slots_processed	verified	verified	0	false	proofs/hmac-replay/complete_requires_all_slots_processed.out
hmac-replay	no_add_after_seal	verified	verified	0	false	proofs/hmac-replay/no_add_after_seal.out
hmac-replay	no_accept_after_close	verified	verified	0	false	proofs/hmac-replay/no_accept_after_close.out
hmac-replay	batch_complete_consumes_state	verified	verified	0	false	proofs/hmac-replay/batch_complete_consumes_state.out
hmac-replay	batch_fail_consumes_state	verified	verified	0	false	proofs/hmac-replay/batch_fail_consumes_state.out
hmac-replay	batch_end_token_single_use	verified	verified	0	false	proofs/hmac-replay/batch_end_token_single_use.out
hmac-replay	receiver_state_single_batch	verified	verified	0	false	proofs/hmac-replay/receiver_state_single_batch.out
hmac-replay	receiver_state_single_batch_end	verified	verified	0	false	proofs/hmac-replay/receiver_state_single_batch_end.out
original-impact	accept_output_has_same_time_accept	verified	verified	0	false	proofs/original-impact/accept_output_has_same_time_accept.out
original-impact	receiver_accept_has_output	verified	verified	0	false	proofs/original-impact/receiver_accept_has_output.out
original-impact	receiver_accept_has_unique_output	verified	verified	0	false	proofs/original-impact/receiver_accept_has_unique_output.out
original-impact	accept_id_unique	verified	verified	0	false	proofs/original-impact/accept_id_unique.out
original-impact	install_has_prior_accept	verified	verified	0	false	proofs/original-impact/install_has_prior_accept.out
original-impact	install_session_has_interface_origin	verified	verified	0	false	proofs/original-impact/install_session_has_interface_origin.out
original-impact	install_from_accept_has_session	verified	verified	0	false	proofs/original-impact/install_from_accept_has_session.out
original-impact	install_event_has_single_source	verified	verified	0	false	proofs/original-impact/install_event_has_single_source.out
original-impact	install_handle_unique	verified	verified	0	false	proofs/original-impact/install_handle_unique.out
original-impact	accept_output_installed_at_most_once	verified	verified	0	false	proofs/original-impact/accept_output_installed_at_most_once.out
original-impact	distinct_accept_sources_have_distinct_handles	verified	verified	0	false	proofs/original-impact/distinct_accept_sources_have_distinct_handles.out
original-impact	install_requires_batch_complete	verified	verified	0	false	proofs/original-impact/install_requires_batch_complete.out
original-impact	consumer_complete_requires_all_outputs_installed	verified	verified	0	false	proofs/original-impact/consumer_complete_requires_all_outputs_installed.out
original-impact	consumer_complete_single_use	verified	verified	0	false	proofs/original-impact/consumer_complete_single_use.out
original-impact	no_install_after_consumer_close	verified	verified	0	false	proofs/original-impact/no_install_after_consumer_close.out
original-impact	normal_one_accept_one_install	verified	verified	0	false	proofs/original-impact/normal_one_accept_one_install.out
original-impact	normal_consumer_complete	verified	verified	0	false	proofs/original-impact/normal_consumer_complete.out
original-impact	one_send_two_accepts_two_installs_exists	verified	verified	0	false	proofs/original-impact/one_send_two_accepts_two_installs_exists.out
original-impact	unique_install_within_completed_consumer	falsified	falsified	0	false	proofs/original-impact/unique_install_within_completed_consumer.out
original-impact	normal_single_accept	verified	verified	0	false	proofs/original-impact/normal_single_accept.out
original-impact	normal_batch_complete	verified	verified	0	false	proofs/original-impact/normal_batch_complete.out
original-impact	one_send_two_accepts_exists	verified	verified	0	false	proofs/original-impact/one_send_two_accepts_exists.out
original-impact	same_message_accepted_at_most_once	falsified	falsified	0	false	proofs/original-impact/same_message_accepted_at_most_once.out
original-impact	full_message_unique_send	verified	verified	0	false	proofs/original-impact/full_message_unique_send.out
original-impact	receiver_accept_has_sender	verified	verified	0	false	proofs/original-impact/receiver_accept_has_sender.out
original-impact	injective_receiver_accept	falsified	falsified	0	false	proofs/original-impact/injective_receiver_accept.out
original-impact	slot_indices_distinct	verified	verified	0	false	proofs/original-impact/slot_indices_distinct.out
original-impact	process_requires_slot_added	verified	verified	0	false	proofs/original-impact/process_requires_slot_added.out
original-impact	process_requires_seal	verified	verified	0	false	proofs/original-impact/process_requires_seal.out
original-impact	complete_requires_all_slots_processed	verified	verified	0	false	proofs/original-impact/complete_requires_all_slots_processed.out
original-impact	no_add_after_seal	verified	verified	0	false	proofs/original-impact/no_add_after_seal.out
original-impact	no_accept_after_close	verified	verified	0	false	proofs/original-impact/no_accept_after_close.out
original-impact	batch_complete_consumes_state	verified	verified	0	false	proofs/original-impact/batch_complete_consumes_state.out
original-impact	batch_fail_consumes_state	verified	verified	0	false	proofs/original-impact/batch_fail_consumes_state.out
original-impact	batch_end_token_single_use	verified	verified	0	false	proofs/original-impact/batch_end_token_single_use.out
original-impact	receiver_state_single_batch	verified	verified	0	false	proofs/original-impact/receiver_state_single_batch.out
original-impact	receiver_state_single_batch_end	verified	verified	0	false	proofs/original-impact/receiver_state_single_batch_end.out
fixed-replay	normal_single_accept	verified	verified	0	false	proofs/fixed-replay/normal_single_accept.out
fixed-replay	normal_batch_complete	verified	verified	0	false	proofs/fixed-replay/normal_batch_complete.out
fixed-replay	one_send_two_accepts_exists	falsified	falsified	0	false	proofs/fixed-replay/one_send_two_accepts_exists.out
fixed-replay	same_message_accepted_at_most_once	verified	verified	0	false	proofs/fixed-replay/same_message_accepted_at_most_once.out
fixed-replay	full_message_unique_send	verified	verified	0	false	proofs/fixed-replay/full_message_unique_send.out
fixed-replay	receiver_accept_has_sender	verified	verified	0	false	proofs/fixed-replay/receiver_accept_has_sender.out
fixed-replay	injective_receiver_accept	verified	verified	0	false	proofs/fixed-replay/injective_receiver_accept.out
fixed-replay	slot_indices_distinct	verified	verified	0	false	proofs/fixed-replay/slot_indices_distinct.out
fixed-replay	process_requires_slot_added	verified	verified	0	false	proofs/fixed-replay/process_requires_slot_added.out
fixed-replay	process_requires_seal	verified	verified	0	false	proofs/fixed-replay/process_requires_seal.out
fixed-replay	complete_requires_all_slots_processed	verified	verified	0	false	proofs/fixed-replay/complete_requires_all_slots_processed.out
fixed-replay	no_add_after_seal	verified	verified	0	false	proofs/fixed-replay/no_add_after_seal.out
fixed-replay	no_accept_after_close	verified	verified	0	false	proofs/fixed-replay/no_accept_after_close.out
fixed-replay	batch_complete_consumes_state	verified	verified	0	false	proofs/fixed-replay/batch_complete_consumes_state.out
fixed-replay	batch_fail_consumes_state	verified	verified	0	false	proofs/fixed-replay/batch_fail_consumes_state.out
fixed-replay	batch_end_token_single_use	verified	verified	0	false	proofs/fixed-replay/batch_end_token_single_use.out
fixed-replay	receiver_state_single_batch	verified	verified	0	false	proofs/fixed-replay/receiver_state_single_batch.out
fixed-replay	receiver_state_single_batch_end	verified	verified	0	false	proofs/fixed-replay/receiver_state_single_batch_end.out
fixed-replay	duplicate_batch_fail_exists	verified	verified	0	false	proofs/fixed-replay/duplicate_batch_fail_exists.out
fixed-replay	duplicate_detected_before_any_accept	verified	verified	0	false	proofs/fixed-replay/duplicate_detected_before_any_accept.out
fixed-replay	duplicate_batch_has_no_accept	verified	verified	0	false	proofs/fixed-replay/duplicate_batch_has_no_accept.out
fixed-replay	process_requires_dedup_pass	verified	verified	0	false	proofs/fixed-replay/process_requires_dedup_pass.out
fixed-replay	dedup_pass_messages_distinct	verified	verified	0	false	proofs/fixed-replay/dedup_pass_messages_distinct.out
fixed-replay	dedup_decision_single_use	verified	verified	0	false	proofs/fixed-replay/dedup_decision_single_use.out
fixed-replay	dedup_outcomes_exclusive	verified	verified	0	false	proofs/fixed-replay/dedup_outcomes_exclusive.out
fixed-replay	normal_distinct_batch_complete	verified	verified	0	false	proofs/fixed-replay/normal_distinct_batch_complete.out
fixed-replay	normal_distinct_fail_slot1_exists	verified	verified	0	false	proofs/fixed-replay/normal_distinct_fail_slot1_exists.out
fixed-replay	normal_distinct_fail_slot2_exists	verified	verified	0	false	proofs/fixed-replay/normal_distinct_fail_slot2_exists.out
fixed-replay	batch_fail_complete_exclusive	verified	verified	0	false	proofs/fixed-replay/batch_fail_complete_exclusive.out
fixed-replay	state_consumed_on_duplicate_fail	verified	verified	0	false	proofs/fixed-replay/state_consumed_on_duplicate_fail.out
fixed-impact	accept_output_has_same_time_accept	verified	verified	0	false	proofs/fixed-impact/accept_output_has_same_time_accept.out
fixed-impact	receiver_accept_has_output	verified	verified	0	false	proofs/fixed-impact/receiver_accept_has_output.out
fixed-impact	receiver_accept_has_unique_output	verified	verified	0	false	proofs/fixed-impact/receiver_accept_has_unique_output.out
fixed-impact	accept_id_unique	verified	verified	0	false	proofs/fixed-impact/accept_id_unique.out
fixed-impact	install_has_prior_accept	verified	verified	0	false	proofs/fixed-impact/install_has_prior_accept.out
fixed-impact	install_session_has_interface_origin	verified	verified	0	false	proofs/fixed-impact/install_session_has_interface_origin.out
fixed-impact	install_from_accept_has_session	verified	verified	0	false	proofs/fixed-impact/install_from_accept_has_session.out
fixed-impact	install_event_has_single_source	verified	verified	0	false	proofs/fixed-impact/install_event_has_single_source.out
fixed-impact	install_handle_unique	verified	verified	0	false	proofs/fixed-impact/install_handle_unique.out
fixed-impact	accept_output_installed_at_most_once	verified	verified	0	false	proofs/fixed-impact/accept_output_installed_at_most_once.out
fixed-impact	distinct_accept_sources_have_distinct_handles	verified	verified	0	false	proofs/fixed-impact/distinct_accept_sources_have_distinct_handles.out
fixed-impact	install_requires_batch_complete	verified	verified	0	false	proofs/fixed-impact/install_requires_batch_complete.out
fixed-impact	consumer_complete_requires_all_outputs_installed	verified	verified	0	false	proofs/fixed-impact/consumer_complete_requires_all_outputs_installed.out
fixed-impact	consumer_complete_single_use	verified	verified	0	false	proofs/fixed-impact/consumer_complete_single_use.out
fixed-impact	no_install_after_consumer_close	verified	verified	0	false	proofs/fixed-impact/no_install_after_consumer_close.out
fixed-impact	normal_one_accept_one_install	verified	verified	0	false	proofs/fixed-impact/normal_one_accept_one_install.out
fixed-impact	normal_consumer_complete	falsified	falsified	0	false	proofs/fixed-impact/normal_consumer_complete.out
fixed-impact	one_send_two_accepts_two_installs_exists	falsified	falsified	0	false	proofs/fixed-impact/one_send_two_accepts_two_installs_exists.out
fixed-impact	unique_install_within_completed_consumer	verified	verified	0	false	proofs/fixed-impact/unique_install_within_completed_consumer.out
fixed-impact	normal_single_accept	verified	verified	0	false	proofs/fixed-impact/normal_single_accept.out
fixed-impact	normal_batch_complete	verified	verified	0	false	proofs/fixed-impact/normal_batch_complete.out
fixed-impact	one_send_two_accepts_exists	falsified	falsified	0	false	proofs/fixed-impact/one_send_two_accepts_exists.out
fixed-impact	same_message_accepted_at_most_once	verified	verified	0	false	proofs/fixed-impact/same_message_accepted_at_most_once.out
fixed-impact	full_message_unique_send	verified	verified	0	false	proofs/fixed-impact/full_message_unique_send.out
fixed-impact	receiver_accept_has_sender	verified	verified	0	false	proofs/fixed-impact/receiver_accept_has_sender.out
fixed-impact	injective_receiver_accept	verified	verified	0	false	proofs/fixed-impact/injective_receiver_accept.out
fixed-impact	slot_indices_distinct	verified	verified	0	false	proofs/fixed-impact/slot_indices_distinct.out
fixed-impact	process_requires_slot_added	verified	verified	0	false	proofs/fixed-impact/process_requires_slot_added.out
fixed-impact	process_requires_seal	verified	verified	0	false	proofs/fixed-impact/process_requires_seal.out
fixed-impact	complete_requires_all_slots_processed	verified	verified	0	false	proofs/fixed-impact/complete_requires_all_slots_processed.out
fixed-impact	no_add_after_seal	verified	verified	0	false	proofs/fixed-impact/no_add_after_seal.out
fixed-impact	no_accept_after_close	verified	verified	0	false	proofs/fixed-impact/no_accept_after_close.out
fixed-impact	batch_complete_consumes_state	verified	verified	0	false	proofs/fixed-impact/batch_complete_consumes_state.out
fixed-impact	batch_fail_consumes_state	verified	verified	0	false	proofs/fixed-impact/batch_fail_consumes_state.out
fixed-impact	batch_end_token_single_use	verified	verified	0	false	proofs/fixed-impact/batch_end_token_single_use.out
fixed-impact	receiver_state_single_batch	verified	verified	0	false	proofs/fixed-impact/receiver_state_single_batch.out
fixed-impact	receiver_state_single_batch_end	verified	verified	0	false	proofs/fixed-impact/receiver_state_single_batch_end.out
fixed-impact	duplicate_batch_fail_exists	verified	verified	0	false	proofs/fixed-impact/duplicate_batch_fail_exists.out
fixed-impact	duplicate_detected_before_any_accept	verified	verified	0	false	proofs/fixed-impact/duplicate_detected_before_any_accept.out
fixed-impact	duplicate_batch_has_no_accept	verified	verified	0	false	proofs/fixed-impact/duplicate_batch_has_no_accept.out
fixed-impact	duplicate_batch_has_no_accept_output	verified	verified	0	false	proofs/fixed-impact/duplicate_batch_has_no_accept_output.out
fixed-impact	duplicate_batch_has_no_install	verified	verified	0	false	proofs/fixed-impact/duplicate_batch_has_no_install.out
fixed-impact	process_requires_dedup_pass	verified	verified	0	false	proofs/fixed-impact/process_requires_dedup_pass.out
fixed-impact	dedup_pass_messages_distinct	verified	verified	0	false	proofs/fixed-impact/dedup_pass_messages_distinct.out
